rank,call_freq,name,type,layer,nelisp_coverage
515,29,makunbound,fn,runtime,MISSING
516,29,fillarray,fn,runtime,MISSING
517,28,treesit-query-compile,fn,substrate/ui,MISSING
518,28,subrp,fn,runtime,MISSING
519,28,logxor,fn,runtime,source-unbootstrapped
520,28,integer-or-marker-p,fn,substrate/ui,MISSING
521,28,file-name-completion,fn,runtime,MISSING
522,28,directory-files-and-attributes,fn,runtime,MISSING
523,28,buffer-local-variables,fn,substrate/ui,MISSING
524,27,window-total-width,fn,substrate/ui,MISSING
525,27,unify-charset,fn,runtime,MISSING
526,27,recursive-edit,fn,runtime,MISSING
527,27,process-attributes,fn,substrate/ui,MISSING
528,27,get-byte,fn,runtime,MISSING
529,27,char-width,fn,runtime,MISSING
530,26,window-prev-buffers,fn,substrate/ui,MISSING
531,26,type-of,fn,runtime,MISSING
532,26,set-window-vscroll,fn,substrate/ui,MISSING
533,26,set-process-buffer,fn,substrate/ui,MISSING
534,26,execute-kbd-macro,fn,runtime,MISSING
535,25,user-uid,fn,runtime,MISSING
536,25,process-filter,fn,substrate/ui,MISSING
537,25,map-char-table,fn,runtime,MISSING
538,25,list-system-processes,fn,runtime,MISSING
539,25,interactive-form,fn,runtime,MISSING
540,25,encode-coding-region,fn,substrate/ui,MISSING
541,25,documentation-property,fn,runtime,MISSING
542,24,window-total-height,fn,substrate/ui,MISSING
543,24,treesit-query-capture,fn,substrate/ui,MISSING
544,24,run-hook-wrapped,fn,substrate/ui,MISSING
545,24,proper-list-p,fn,runtime,MISSING
546,24,make-char,fn,runtime,MISSING
547,24,frame-visible-p,fn,substrate/ui,MISSING
548,24,define-charset-alias,fn,runtime,MISSING
549,24,buffer-enable-undo,fn,substrate/ui,MISSING
550,23,unhandled-file-name-directory,fn,runtime,MISSING
551,23,set-window-new-normal,fn,substrate/ui,MISSING
552,23,set-file-selinux-context,fn,runtime,MISSING
553,23,set-file-acl,fn,runtime,MISSING
554,23,send-string-to-terminal,fn,runtime,MISSING
555,23,read-coding-system,fn,substrate/ui,MISSING
556,23,posn-at-point,fn,substrate/ui,MISSING
557,23,font-get,fn,runtime,MISSING
558,23,file-system-info,fn,runtime,MISSING
559,23,file-selinux-context,fn,runtime,MISSING
560,23,file-acl,fn,runtime,MISSING
561,23,default-file-modes,fn,runtime,MISSING
562,23,daemonp,fn,runtime,MISSING
563,23,char-category-set,fn,substrate/ui,MISSING
564,22,window-pixel-height,fn,substrate/ui,MISSING
565,22,window-next-sibling,fn,substrate/ui,MISSING
566,22,window-body-width,fn,substrate/ui,MISSING
567,22,treesit-node-prev-sibling,fn,substrate/ui,MISSING
568,22,set-terminal-parameter,fn,runtime,MISSING
